source_paper,star_name,normalized_name,age_gyr,age_err_lo_gyr,age_err_hi_gyr,prot_days,age_method
Engle_2024,GJ 191,GJ 191,10.49542428652322,1.05481552366399,1.1726718840864034,153.2,gyro_e23
Engle_2024,au Mic,au Mic,0.1811340092619602,0.0159378294390587,0.0174754824737769,4.86,gyro_e23
Engle_2024,HIP 23309,HIP 23309,0.309029543251359,0.0291314112879228,0.0321633683705694,8.6,gyro_e23
Engle_2024,GJ 410,GJ 410,0.7211074791828996,0.0813726437002514,0.0917230369811996,14.52,gyro_e23
Engle_2024,GJ 49,GJ 49,1.4588142602753484,0.1882401550668067,0.2161286157510888,19.45,gyro_e23
Engle_2024,GJ 649,GJ 649,1.931968317016924,0.2685556666467545,0.3119136067658423,21.42,gyro_e23
Engle_2024,GJ 3470,GJ 3470,1.9678862897068448,0.2967956753961371,0.3495083602616335,21.54,gyro_e23
Engle_2024,GJ 887,GJ 887,3.1841975217261247,0.4864580892812045,0.5741765211583165,33.0,gyro_e23
Engle_2024,GJ 205,GJ 205,3.2284941217126355,0.4932253954059233,0.5821641122250947,33.72,gyro_e23
Engle_2024,GJ 832,GJ 832,3.548133892335755,0.596924665669369,0.717661295680172,38.1,gyro_e23
Engle_2024,GJ 176,GJ 176,3.639150361272072,0.6330740586438406,0.7663982737934614,39.3,gyro_e23
Engle_2024,GJ 15A,GJ 15A,4.111497211045222,0.807801800677074,1.005321144357855,50.69,gyro_e23
Engle_2024,GJ 411,GJ 411,5.236004365857502,1.2549326603225297,1.6505185975852583,56.15,gyro_e23
Engle_2024,AD Leo (GJ 388),AD Leo,0.1721868574986007,0.0073706183460498,0.0077002340142781,2.24,gyro_e23
Engle_2024,HIP 112312,HIP 112312,0.1745822152920503,0.0074731538609796,0.0078073549399134,2.355,gyro_e23
Engle_2024,YZ CMi (GJ 285),YZ CMi,0.8090958991783823,0.0557403354446649,0.0598645301079194,2.7758,gyro_e23
Engle_2024,GJ 729,GJ 729,0.1874994508067418,0.0080260881234892,0.0083850165438571,2.9,gyro_e23
Engle_2024,HIP 17695,HIP 17695,0.2123244462000219,0.0090887451063997,0.0094951957799999,3.87,gyro_e23
Engle_2024,EV Lac (GJ 873),EV Lac,0.8871560120379609,0.0611180624607822,0.0656401519856909,4.3715,gyro_e23
Engle_2024,GJ 4334,GJ 4334,2.8119008303989403,0.1694920730769937,0.1803638062092489,23.54,gyro_e23
Engle_2024,LHS 2686,LHS 2686,3.061963433690677,0.2305714378912982,0.249347781135234,28.8,gyro_e23
Engle_2024,GJ 674,GJ 674,3.198895109691398,0.261245457729867,0.2844780406687199,33.3,gyro_e23
Engle_2024,GJ 163,GJ 163,3.953666200681279,0.5101668930478946,0.585749965820753,56.04,gyro_e23
Engle_2024,GJ 588,GJ 588,3.793149849736819,0.451199449475677,0.5121162551802878,61.3,gyro_e23
Engle_2024,GJ 436,GJ 436,4.560369159512962,0.7321217263447344,0.87213415541137,71.4,gyro_e23
