source_paper,star_name,age_gyr,age_err_lo_gyr,age_err_hi_gyr,prot_days,age_method,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,ebpminrp_gspphot,g_rp,bp_rp_0,ruwe_flag
Engle_2024,TYC 3425-1133-1,0.2985382618917959,0.0281424254809116,0.0310714502856617,8.35,gyro_e23,8.190710509892178e+17,139.7527279078717,46.18199791463232,33.39146309471681,0.025434533,-151.05512000748868,-21.336044706054167,11.151594,12.253352,10.105474,2.1478777,1.2761805,,1.0461197,,True
Engle_2024,1RXS J051125.0+265849,0.2877398414735669,0.0271244864736773,0.02994756559141,8.09,gyro_e23,3.4217750571737216e+18,77.85906994806096,26.97938412245807,5.688264173809042,0.36417848,-5.1109439978645455,-18.744086549876663,13.283457,14.320362,12.11613,2.2042322,25.129827,,1.1673269,,True
Engle_2024,EPIC 202059204,0.2792543841237337,0.0263245844791193,0.0290644109012016,7.89,gyro_e23,3.38340553734038e+18,96.56052009713102,23.826772599036275,36.33929974573389,0.023231208,-10.788024188896369,-136.23384494983307,10.9956455,12.08765,9.955789,2.1318617,1.0708205,0.0009,1.0398569,2.1309617,False
Engle_2024,UCAC4 666-047939,0.2779713267759288,0.0262036340000433,0.0289308720631868,7.85,gyro_e23,9.640647488569743e+17,99.94395601652042,43.051081665568205,16.22459426506625,0.065669954,-6.195174770163102,-115.24427436513808,12.624192,13.942026,11.480688,2.461338,5.4592376,,1.1435041,,True
Engle_2024,TYC 2703-706-1,0.2760577856220345,0.0265983129277391,0.0294343256995167,7.8,gyro_e23,1.8517871798790072e+18,319.6409607077273,30.242849978138164,26.759009658101565,0.017548015,59.35292938026393,-22.444229855352216,10.937753,11.932399,9.945482,1.9869165,1.17442,,0.99227047,,False
Engle_2024,1RXS J040731.6+340525,0.6501296903430906,0.0363676851782964,0.0385226060011854,12.54,gyro_e23,1.707125848103479e+17,61.87952735484612,34.09086342835092,16.438081429941082,0.019190034,85.17042549185443,-37.94214610265841,13.513098,14.882803,12.358767,2.5240364,1.2326483,,1.1543312,,True
Engle_2024,CK Ari,0.3622429984166986,0.0356551662443627,0.0395478124322413,9.7,gyro_e23,1.1799017762100774e+17,51.80925387706472,27.385490683825704,32.96413849844113,0.020623093,-101.73524086347182,-56.67944070581564,10.894056,11.923955,9.888493,2.0354624,1.2067317,0.0002,1.0055637,2.0352623,True
Engle_2024,PM J04310+3647,0.7144963260755134,0.0399682983775914,0.042336568945461,13.26,gyro_e23,1.7801000911923814e+17,67.74977744640249,36.79851783382173,24.530738728670016,0.2756617367267608,-58.056753810506,-24.73932689535235,12.805269241333008,13.590004920959473,11.04421329498291,2.5457916259765625,11.844971656799316,,1.7610559463500977,,True
Engle_2024,GJ 694.2,1.0739894123412448,0.1320998158184034,0.1506267869238038,17.3,gyro_e23,1.362592672604119e+18,266.3895674912594,46.85550915692615,46.53442390051404,0.035617147,-18.61400249005781,31.94608501061304,9.962462,10.948614,8.9459095,2.0027046,2.1763456,,1.0165529,,True
Engle_2024,BD+16 2708 (GJ 569 A),0.6397348354826481,0.0708819046388066,0.0797141425210513,13.68,gyro_e23,1.1878516532871286e+18,223.62310860272,16.100530964762918,100.52427049433877,0.0210066959261894,279.117449001282,-117.90818054053804,9.123367309570312,10.315930366516112,8.034248352050781,2.281682014465332,1.1933485269546509,0.0,1.0891189575195312,2.281682014465332,False
Engle_2024,Ross 868 (GJ 669A),1.927524913190936,0.1327912863584095,0.1426164356001058,20.95,gyro_e23,4.574048021719711e+18,259.9747987710552,26.50241183806962,92.98565081391038,0.0252438765019178,-214.8369360518965,350.85021715315656,10.147985458374023,11.629905700683594,8.949299812316895,2.680605888366699,1.4012246131896973,0.0,1.198685646057129,2.680605888366699,True
Engle_2024,1RXS J165257.4+255744,1.6292960326397223,0.2200072342178476,0.2543530568500782,20.22,gyro_e23,1.3062779204128768e+18,253.236287891546,25.95868786691877,13.870792385874388,0.0132097965,-45.56991567900423,36.279605226420166,12.862145,13.958965,11.822521,2.136444,1.0795532,0.2405,1.0396242,1.8959441,False
Engle_2024,GJ 606,1.5776112696993487,0.2098824441034996,0.2420895889106347,20.0,gyro_e23,4.347870370990205e+18,239.97333281720185,-8.253319518751894,75.29409426657962,0.02317745,202.4425447694917,-25.625643916501858,9.601218,10.726547,8.545803,2.1807442,1.3153642,,1.0554152,,True
Engle_2024,UCAC4 619-055248,1.6710906143107076,0.1187036043526252,0.1277803008180802,19.84,gyro_e23,4.602078902438064e+18,262.61089265263854,33.748518614832584,38.34833427579703,0.01599083,-76.28227575690505,135.06922333422352,12.239866,13.703723,11.054968,2.648755,1.1866386,,1.1848984,,False
Engle_2024,GJ 49,1.4588142602753484,0.1882401550668067,0.2161286157510888,19.45,gyro_e23,5.228633099649875e+17,15.668950820681058,62.345451222893885,101.42379529598418,0.016878147,731.0879947758527,90.53173556175588,8.671337,9.792029,7.6165996,2.1754298,1.0359348,,1.0547376,,False
Engle_2024,GJ 3822,1.2387965865303692,0.1573626352324311,0.180260935158723,18.3,gyro_e23,1.2299774140806802e+18,210.5822228115632,13.689010662602763,49.1192503121688,0.019590724,99.02891920125164,-140.62223997395353,9.840229,10.858652,8.839605,2.0190468,1.1817048,,1.0006237,,False
Engle_2024,HG 8-1,1.247383514242943,0.0832574848324516,0.0892120023034992,17.57,gyro_e23,1.631525490132704e+17,63.72417623682426,27.75722874591913,44.11720513136363,0.03296239,231.5289065886094,-120.19568030474136,11.572173,12.981087,10.399214,2.581873,1.1467971,,1.1729593,,False
Engle_2024,EPIC 202059231,1.093956366272094,0.1345557347561607,0.1534271479708491,17.43,gyro_e23,3.3783344823363896e+18,102.22990768348006,21.134105180937947,28.59480519968024,0.022303382,-37.90176976899959,-61.69721158224456,11.978293,13.253731,10.859831,2.3939,1.2986465,0.0002,1.1184626,2.3937,True
Engle_2024,GJ 21,1.0889300933334334,0.2017740812954724,0.2476654232130088,17.4,gyro_e23,5.301580198552169e+17,6.717799155156741,70.1417718861894,61.87311043571923,0.012971682,-137.0939507379547,-146.23256003655098,9.700621,10.749013,8.684382,2.0646305,1.0074942,,1.0162382,,False
Engle_2024,CW UMa,0.3515604405282981,0.0165950013704704,0.0174171580418522,7.78,gyro_e23,7.582007128859533e+17,167.96464803741873,33.53697074560677,74.88387307220047,0.031113254,-175.97383930612426,116.54723173327582,11.136029,12.6292925,9.937554,2.6917381,1.1366289,,1.1984749,,False
Engle_2024,GJ 373,1.0543868963912588,0.185426467104957,0.2249944077662657,17.18,gyro_e23,1.0515470522182202e+18,149.0331749118223,62.78586947842925,95.04771290601064,0.015691645,-303.9218502410663,-583.4128868434314,8.231167,9.188957,7.261147,1.9278102,0.98848855,0.0002,0.9700198,1.9276102,False
Engle_2024,GJ 338B,0.9727472237769652,0.1157093785465954,0.131331396125108,16.61,gyro_e23,1.0224561048508928e+18,138.5913117966687,52.68342944184038,157.8824911260602,0.021135049,-1573.0402244550992,-659.9060008123529,7.054455,7.9594064,6.1129565,1.8464499,1.118406,,0.9414983,,False
Engle_2024,G 115-72,0.9727472237769652,0.1176805108922818,0.1338765602007011,16.61,gyro_e23,8.194411783867277e+17,140.7137797308093,46.78300339680779,29.43124920672492,0.018175945,-210.15664849987644,-112.8430627425344,10.869004,11.860968,9.88215,1.9788179,1.086934,,0.98685455,,False
Engle_2024,G 123-35,0.744731973905989,0.0432766754860177,0.0459466540938361,13.59,gyro_e23,1.534831272173203e+18,187.2610461646017,41.72942423929911,42.53632376755093,0.077516824,-187.6715112672824,-216.38278034671333,11.636573,13.179961,10.422037,2.757924,3.271062,,1.2145357,,True
Engle_2024,BL Lyn,0.3548133892335754,0.0167485530275938,0.017578317020993,16.4,gyro_e23,8.985061661876333e+17,112.98739022537632,36.22866483400494,83.3999781450608,0.025737088,-264.28149359508706,-260.26542181128644,10.505624,12.051916,9.2852955,2.7666206,1.1862601,0.0,1.2203283,2.7666206,False
Engle_2024,GJ 3942,0.9311078754678304,0.122011976289448,0.140411429769776,16.3,gyro_e23,1.42803062252698e+18,242.26459230624124,52.94415284692017,58.99709854203002,0.013271692,204.16399855722867,62.09277705950411,9.4123,10.396578,8.431186,1.9653921,1.1466008,0.0006,0.9811144,1.9647921,False
Engle_2024,StKM 1-1407,0.9099132726322516,0.1082352092445724,0.1228481331291458,16.15,gyro_e23,1.3080580640974057e+18,252.7802932612634,28.60081505060694,27.82544564179853,0.05755399,-24.44296092436392,114.97733927916188,10.846678,11.807675,9.870769,1.9369068,4.4450736,,0.97590923,,True
Engle_2024,UCAC4 650-018148,0.9099132726322516,0.1082352092445724,0.1228481331291458,16.14,gyro_e23,2.268554352292425e+17,60.353708322117576,39.88156474676463,19.073092668488428,0.029446136,109.7383463574441,-78.92326924931768,11.695824,12.799614,10.6490135,2.1506004,1.7628814,,1.0468102,,True
