object,source_survey_name,source_survey_id,ref,Prot,e_Prot,ageMyr,e_ageMyr,TIC_ID,GaiaDR2_ID,GaiaDR3_ID,bp_rp,ebpminrp_gspphot,ruwe,parallax,bprp0
2MASS J04173372+2820468,2MASS,04173372+2820468,Mamonova2025,4.33,,4.5,,58177093.0,1.6469863416013926e+17,164698634160139264,2.2111511,0.1788,1.4416374,7.915844179361858,2.032351
2MASS J04173893+2833005,2MASS,04173893+2833005,Mamonova2025,1.417,,4.5,,58229237.0,1.6470536866885312e+17,164705368668853120,2.3079243,,1.9191893,7.56358454615243,
2MASS J04175717-3827038,2MASS,04175717-3827038,Mamonova2025,0.96,,24.0,,7647775.0,4.868409068547918e+18,4868409068547917696,2.6323547,,,,
2MASS J04192625+2826142,2MASS,04192625+2826142,Mamonova2025,5.482,,4.5,,58288494.0,1.645044672786441e+17,164504467278644096,2.1298752,1.3267,1.32678,7.734234067660837,0.8031752
2MASS J04202606+2804089,2MASS,04202606+2804089,Mamonova2025,2.888,,4.5,,58366488.0,1.6444543724815283e+17,164445437248152832,2.6381855,0.3844,1.1751461,7.810953090954392,2.2537856
2MASS J04213904-7233562,2MASS,04213904-7233562,Mamonova2025,4.613,,45.0,,33864387.0,4.6535173162643e+18,4653517316264299904,2.4707346,0.0006,1.5300982,18.65810571272847,2.4701345
2MASS J04233919+2456141,2MASS,04233919+2456141,Mamonova2025,5.386,,4.5,,58544652.0,1.496237112694254e+17,149623711269425408,2.5692177,2.0235,1.3265878,7.681217545084896,0.5457177
2MASS J04240094-5512223,2MASS,04240094-5512223,Mamonova2025,1.56,,45.0,,396731889.0,4.778915109878775e+18,4778915109878774912,2.4628305,0.307,2.0170093,13.24825836164213,2.1558306
2MASS J04245708+2711565,2MASS,04245708+2711565,Mamonova2025,5.492,,4.5,,58606534.0,1.5222649151319565e+17,152226491513195648,2.0232954,1.273,1.3002605,7.729192506935455,0.7502954
2MASS J04261711-3757338,2MASS,04261711-3757338,Mamonova2025,0.787,,24.0,,7738623.0,4.865484642495988e+18,4865484642495988224,1.572403,0.0002,1.0978307,20.423656877851624,1.5722029
2MASS J04294155+2632582,2MASS,04294155+2632582,Mamonova2025,5.413,,4.5,,268148971.0,1.5137420249807987e+17,151374202498079872,2.0523481,,1.5009322,7.4935948412810784,
2MASS J04311444+2710179,2MASS,04311444+2710179,Mamonova2025,5.981,,4.5,,268283585.0,1.5179308206852186e+17,151793082068521856,1.8792543,0.6776,1.0399173,7.873376961757271,1.2016543
2MASS J04320329+2528078,2MASS,04320329+2528078,Mamonova2025,2.386,,4.5,,268325250.0,1.5102899020647808e+17,151028990206478080,4.072489,,1.499869,7.875706408544868,
2MASS J04322548-3903153,2MASS,04322548-3903153,Mamonova2025,2.01,,24.0,,77156678.0,4.86475346726362e+18,4864753467263620224,2.7314472,0.0,1.2323787,30.91656857099088,2.7314472
2MASS J04323176+2420029,2MASS,04323176+2420029,Mamonova2025,6.785,,4.5,,268397430.0,1.4779601370418893e+17,147796013704188928,2.8565454,2.1968,1.5235993,7.737149113608998,0.65974545
2MASS J04353618-2527347,2MASS,04353618-2527347,Mamonova2025,2.785,,24.0,,178947176.0,4.89431544798768e+18,4894315447987680640,2.7076273,0.0,1.2818245,59.59993048652432,2.7076273
2MASS J04382858+2610494,2MASS,04382858+2610494,Mamonova2025,8.89,,4.5,,150002984.0,1.4844991388429453e+17,148449913884294528,2.0589037,1.171,2.0346773,7.219288747537495,0.8879037
2MASS J04385859+2336351,2MASS,04385859+2336351,Mamonova2025,1.679,,4.5,,118679348.0,1.4676776417392333e+17,146767764173923328,3.6538324,,1.1120814,7.895900622087726,
2MASS J04390940+2324007,2MASS,04390940+2324007,Mamonova2025,6.619,,4.5,,118679163.0,1.4670873414343757e+17,146708734143437568,2.2713041,0.318,1.1997098,7.960906920821039,1.9533042
2MASS J04400675+2536457,2MASS,04400675+2536457,Mamonova2025,5.0,,750.0,,150061104.0,1.4818465670434035e+17,148184656704340352,2.5761738,,1.2181073,23.36486408762095,
2MASS J04422101+2520343,2MASS,04422101+2520343,Mamonova2025,1.91,,4.5,,150173438.0,1.4811291357065357e+17,148112913570653568,3.5547476,,1.1983398,7.108381620114149,
2MASS J04435860-3643188,2MASS,04435860-3643188,Mamonova2025,1.61,,45.0,,77339881.0,4.866413317504891e+18,4866413317504891392,2.8875341,,1.2931433,18.872982269674885,
2MASS J04440099-6624036,2MASS,04440099-6624036,Mamonova2025,7.824,,45.0,,294754396.0,4.662589219211976e+18,4662589219211975296,1.9495726,,1.0001541,16.643113902259373,
2MASS J04440824-4406473,2MASS,04440824-4406473,Mamonova2025,9.93,,45.0,,200441011.0,4.814443246854579e+18,4814443246854579072,2.1864405,,1.0112165,19.85628717239286,
2MASS J04464970-6034109,2MASS,04464970-6034109,Mamonova2025,0.32,,50.0,,55497266.0,4.677731349742482e+18,4677731349742482176,2.2649307,0.0019,0.9254351,40.73442075588356,2.2630308
2MASS J04470041-5134405,2MASS,04470041-5134405,Mamonova2025,6.133,,45.0,,259542669.0,4.784114803446931e+18,4784114803446931200,2.4348373,,1.378631,17.112637037555576,
2MASS J04480066-5041255,2MASS,04480066-5041255,Mamonova2025,8.49,,45.0,,259573397.0,4.784584668571801e+18,4784584668571800960,1.8256712,0.0301,1.5414867,17.1941264681166,1.7955712
2MASS J04515303-4647309,2MASS,04515303-4647309,Mamonova2025,2.85,,45.0,,161476011.0,4.78690024005986e+18,4786900240059859968,2.0981932,0.2344,2.5292444,11.960071843084092,1.8637931
2MASS J04595855-0333123,2MASS,04595855-0333123,Mamonova2025,4.3,,24.0,,213036756.0,3.213122208743219e+18,3213122208743219200,2.6816864,,31.407427,22.25781855737338,
2MASS J05011802+2237015,2MASS,J05011802+2237015,LWRD,70.67,0.71,4528.0,797.0,69051805.0,3.418324583527645e+18,3418324583527645440,3.504158,,1.393303,69.88824856836183,
2MASS J05015746-0656459,2MASS,J05015746-0656459,LWRD,94.75,0.95,5662.0,1355.0,43605290.0,3.1871154988666757e+18,3187115498866675456,3.0327492,,1.1008298,186.04662779359128,
