moca_oid,GaiaDR3_ID,twomass_id,moca_aid,moca_mtid,designation,ra,dec,spectral_type,banyan_prob,gmag,rmag,bmag,parallax_mas,prot_days,age_string_myr,age_myr,age_myr_unc,age_myr_unc_pos,age_myr_unc_neg,k_m,k_cmsig,k_msigcom,k_snr,bp_rp,ebpminrp_gspphot,ruwe,parallax,bprp0
3944946,604896631259208192,08512892+1136175,NGC2682,CM,Gaia DR3 604896631259208192,132.8706133,11.6048682,(M1.4),99.9151,18.69414,17.63115,19.90726,1.2259194907649602,33.9,~4000,4168.7,,,,15.254,0.1393,0.1396,7.94,2.2776165,0.1127,0.93565583,1.2259194907649602,2.1649165
3945656,604972394482497280,08510566+1201304,NGC2682,CM,Gaia DR3 604972394482497280,132.7735935,12.0251544,(M1.4),99.8711,18.79805,17.73414,20.08599,1.0564678647333976,35.0,~4000,4168.7,,,,15.092,0.1007,0.1011,10.58,2.3520565,0.2161,1.0129311,1.0564678647333976,2.1359565
3945096,604909383016937088,,NGC2682,CM,Gaia DR3 604909383016937088,132.7203065,11.6904085,(M1.4),97.9587,20.13491,19.06706,21.04125,1.0376210090099838,84.8,~4000,4168.7,,,,,,,,1.9720345,,0.9955334,1.0376210090099838,
3945301,604920584291606144,,NGC2682,CM,Gaia DR3 604920584291606144,132.792054,11.8094856,(M1.4),99.2398,19.60721,18.53899,20.88424,0.4615946126884351,167.0,~4000,4168.7,,,,,,,,2.343811,,1.0521668,0.4615946126884351,
3945657,604972394482498304,08510636+1201410,NGC2682,CM,Gaia DR3 604972394482498304,132.7765144,12.0280315,(M1.5),99.8009,18.89434,17.82481,20.18367,1.147191422947199,37.2,~4000,4168.7,,,,15.487,0.1515,0.1517,7.36,2.358183,0.0637,0.9538665,1.147191422947199,2.294483
3912153,598886288384971008,08511492+1127580,NGC2682,CM,Gaia DR3 598886288384971008,132.8121523,11.4661445,(M1.5),97.0407,19.19831,18.1285,20.57604,0.7652627882084111,112.0,~4000,4168.7,,,,15.668,0.1997,0.1999,5.42,2.4470387,,1.01851,0.7652627882084111,
3945593,604968236953708416,08495983+1157569,NGC2682,CM,Gaia DR3 604968236953708416,132.4992291,11.9658815,(M1.5),99.4558,19.19112,18.11986,20.47933,1.3897772515114484,52.5,~4000,4168.7,,,,15.566,0.1471,0.1474,6.84,2.3593197,,1.0386206,1.3897772515114484,
3944933,604895467323840256,08510759+1134460,NGC2682,CM,Gaia DR3 604895467323840256,132.7815762,11.5794414,(M1.5),99.5886,19.0263,17.95404,20.21543,0.9523162469711433,13.6,~4000,4168.7,,,,15.562,0.1935,0.1937,5.98,2.2617283,,0.9622982,0.9523162469711433,
3945817,605004834370703744,08522995+1214550,NGC2682,CM,Gaia DR3 605004834370703744,133.1247697,12.2486047,(M1.5),99.293,18.80974,17.73505,20.07684,1.0082306555311749,35.9,~4000,4168.7,,,,15.349,0.1276,0.1279,8.65,2.3419533,0.1392,1.0310811,1.0082306555311749,2.2027533
3945613,604969615638992896,08510820+1157037,NGC2682,CM,Gaia DR3 604969615638992896,132.7842491,11.9509932,(M1.6),99.893,19.27228,18.19623,20.47362,1.2225306890082566,41.8,~4000,4168.7,,,,15.919,0.229,0.2292,4.94,2.2757816,,0.963905,1.2225306890082566,
3912223,598908042394421248,08501120+1140547,NGC2682,CM,Gaia DR3 598908042394421248,132.5465731,11.6818643,(M1.6),99.5274,18.93186,17.85489,20.09255,1.4283426758853182,55.4,~4000,4168.7,,,,15.794,0.2147,0.2149,5.0,2.2393475,0.0137,1.0620257,1.4283426758853182,2.2256474
3945258,604918174815279616,08513317+1151023,NGC2682,CM,Gaia DR3 604918174815279616,132.888221,11.850639,(M1.6),99.0272,18.97122,17.89381,20.12831,0.9414025970503386,103.0,~4000,4168.7,,,,15.569,0.1878,0.188,5.94,2.2354603,0.1163,1.0900114,0.9414025970503386,2.1191602
3945628,604970435977387520,08504282+1157408,NGC2682,CM,Gaia DR3 604970435977387520,132.6784629,11.9612722,(M1.6),92.7215,19.12312,18.04545,20.48178,1.5965928062716332,38.3,~4000,4168.7,,,,15.899,,,,2.437107,,1.0518328,1.5965928062716332,
3912140,598883642685066368,08505149+1120400,NGC2682,CM,Gaia DR3 598883642685066368,132.7146261,11.3443981,(M1.6),99.0789,18.97362,17.89529,20.02557,0.850276120394173,48.7,~4000,4168.7,,,,15.329,0.1296,0.1299,7.41,2.129551,0.0051,0.98787355,0.850276120394173,2.124451
3944891,604891412874700544,08513644+1130033,NGC2682,CM,Gaia DR3 604891412874700544,132.9018075,11.5009519,(M1.6),98.1515,18.98386,17.90257,20.42379,1.3813822387755503,30.4,~4000,4168.7,,,,15.558,0.2008,0.201,6.0,2.5205555,0.0957,1.042554,1.3813822387755503,2.4248555
3945030,604903816740187264,08515870+1143076,NGC2682,CM,Gaia DR3 604903816740187264,132.9945627,11.7187691,(M1.7),97.622,18.65297,17.56649,19.69093,0.7780139017885074,113.0,~4000,4168.7,,,,15.296,0.1403,0.1406,7.64,2.125618,0.0408,1.0442202,0.7780139017885074,2.084818
3945720,604982805482785152,08492533+1201152,NGC2682,CM,Gaia DR3 604982805482785152,132.3556239,12.0208763,(M1.7),93.9519,19.28481,18.19813,20.44541,0.983852314754358,46.6,~4000,4168.7,,,,15.83,,,,2.2471066,,1.0471026,0.983852314754358,
3945621,604970058020251520,08503790+1155357,NGC2682,CM,Gaia DR3 604970058020251520,132.6579325,11.9264018,(M1.7),99.2052,18.77061,17.68328,19.89787,1.230862691096517,34.8,~4000,4168.7,,,,15.32,0.1333,0.1336,8.58,2.2142906,0.2197,0.9608442,1.230862691096517,1.9945906
3912220,598907179105947520,08502347+1139392,NGC2682,CM,Gaia DR3 598907179105947520,132.5977917,11.6608608,(M1.8),99.1232,19.21377,18.12484,20.52142,1.206460237170726,41.8,~4000,4168.7,,,,15.836,0.2297,0.2299,4.81,2.3942966,,1.0490773,1.206460237170726,
3945379,604925046762260096,08530181+1145067,NGC2682,CM,Gaia DR3 604925046762260096,133.2574601,11.7519205,(M1.8),74.7996,19.47866,18.38846,20.80993,1.1617657397657708,26.7,~4000,4168.7,,,,16.326,0.3449,0.345,3.28,2.4220695,,1.0045247,1.1617657397657708,
3945098,604909619240334592,08511047+1140222,NGC2682,CM,Gaia DR3 604909619240334592,132.793615,11.6727743,(M1.8),96.2346,19.32781,18.23584,20.60909,1.561200728713788,54.6,~4000,4168.7,,,,15.439,,,,2.3734703,,0.96321887,1.561200728713788,
3945678,604974597801096064,08502213+1201273,NGC2682,CM,Gaia DR3 604974597801096064,132.592244,12.0242199,(M1.8),59.4096,19.20905,18.11578,20.48413,0.7690606478313098,55.1,~4000,4168.7,,,,16.031,0.235,0.2352,4.46,2.36726,,1.0747069,0.7690606478313098,
3912276,598956450970778624,,NGC2682,CM,Gaia DR3 598956450970778624,132.475047,11.7639774,(M1.8),98.8384,20.02662,18.93323,21.21191,0.4190424804338723,51.2,~4000,4168.7,,,,,,,,2.2798347,,1.0350944,0.4190424804338723,
3945397,604929620903657856,08523469+1150008,NGC2682,CM,Gaia DR3 604929620903657856,133.1445647,11.8334953,(M1.9),99.4748,19.18993,18.09483,20.40523,1.1341055231839268,52.9,~4000,4168.7,,,,15.838,0.2237,0.2239,4.8,2.3078747,,1.0126834,1.1341055231839268,
3945535,604961777323248384,08501293+1148399,NGC2682,CM,Gaia DR3 604961777323248384,132.553902,11.81111,(M1.9),99.8856,19.04031,17.94344,20.30399,1.2033585946889218,88.9,~4000,4168.7,,,,15.725,0.1954,0.1956,5.33,2.3595982,,1.0359148,1.2033585946889218,
3945500,604950236746474880,08520700+1205028,NGC2682,CM,Gaia DR3 604950236746474880,133.0290106,12.0842876,(M1.9),99.8535,19.11357,18.01474,20.25002,1.2073829366097872,20.4,~4000,4168.7,,,,15.833,0.1884,0.1886,5.35,2.2340813,,1.0693759,1.2073829366097872,
3945672,604974284268110720,,NGC2682,CM,Gaia DR3 604974284268110720,132.6818194,12.0361752,(M1.9),98.8789,19.71349,18.61417,21.0749,1.2956489626392054,63.6,~4000,4168.7,,,,,,,,2.4615612,,0.99116105,1.2956489626392054,
3945344,604922297983905920,08511774+1153450,NGC2682,CM,Gaia DR3 604922297983905920,132.8239301,11.8959086,(M1.9),99.7841,19.14098,18.04132,20.3635,1.3447685328241734,20.0,~4000,4168.7,,,,15.541,0.1868,0.187,6.1,2.322401,,0.98782134,1.3447685328241734,
3945023,604903438783071616,08515426+1142408,NGC2682,CM,Gaia DR3 604903438783071616,132.9761424,11.7113443,(M1.9),65.727,19.42783,18.32702,20.87394,1.8920641482105407,39.6,~4000,4168.7,,,,15.463,0.1747,0.1749,6.55,2.5465908,,1.0118319,1.8920641482105407,
