moca_oid,GaiaDR3_ID,twomass_id,moca_aid,moca_mtid,designation,ra,dec,spectral_type,banyan_prob,gmag,rmag,bmag,parallax_mas,prot_days,age_string_myr,age_myr,age_myr_unc,age_myr_unc_pos,age_myr_unc_neg,phot_g_mean_mag,bp_rp,ruwe,parallax,ebpminrp_gspphot,bprp0,flag_high_ruwe
127672,5338628685233591040,11050489-5902553,NGC3532,CM,Gaia DR2 5338628685233591040,166.270392,-59.048717,(M2.3),99.7371,18.266,17.141,19.71,2.2463300228118896,2.6852,360 ± 20,360.0,20.0,20.0,20.0,18.367523,2.6286201,0.9820307,2.2463337755014883,0.2166,2.4120202,False
2217878,2021130009473718784,19353088+2431350,XDOCC9,CM,Gaia DR3 2021130009473718784,293.878691,24.526411,(M1.0),99.7367,17.33719,16.29508,18.42404,1.7876310804608024,3.7421214132643423,"144 (-70,+130)",144.0,98.0,130.0,70.0,17.33719,2.1289406,0.953523,1.7876310804608024,0.4939,1.6350405,False
3167493,465318474836166528,02304118+6015052,STOC7,CM,Gaia DR3 465318474836166528,37.671593,60.251457,(M1.9),99.7365,18.05814,16.96008,19.3352,1.5593078746311193,6.736200042358718,77.6,77.6,,,,18.05814,2.3749523,1.0041765,1.5593078746311193,0.6633,1.7116523,False
151386,5815839958835868160,16522233-6613099,CUPK612,CM,Gaia DR2 5815839958835868160,253.0928885,-66.2194505,(M2.5),99.7363,16.251,15.107,17.607,3.5038199424743652,0.5080440044403076,102.3,102.3,20.5,20.5,20.5,16.372309,2.5734968,1.155291,3.503817349281406,0.3969,2.1765969,False
56003,2252923312709074048,19031603+6448468,CFN7,CM,Gaia DR2 2252923312709074048,285.8168393,64.8130584,(M0.1),99.7359,14.3,13.307,15.294,4.860519886016846,3.697000026702881,17.1 ± 4.0,17.1,4.0,4.0,4.0,14.344349,2.010602,1.0669154,4.860520425320341,1.2842,0.72640204,False
4079356,951670160433955712,06482035+4114263,NGC2281,CM,Gaia DR3 951670160433955712,102.08481019724309,41.240617694631894,(M6.0),99.7359,17.57868,16.38773,18.8799,2.053295720333539,4.96,631.0,631.0,,,,17.578703,2.4925423,1.1151669,2.053295720333539,0.3437,2.1488423,False
52918,219108276300681472,04020589+3522016,CAPER,HM,Gaia DR2 219108276300681472,60.5246333,35.3670234,(M1.4),99.7357,14.786,13.721,15.987,5.673699855804443,1.2098900079727173,79 +1.5/-2.3,79.0,1.9,1.5,2.3,15.121951,2.4546633,1.0998702,5.6736987896961955,0.3736,2.0810633,False
110290,464255217034048640,02355204+5909192,STOC2,CM,Gaia DR2 464255217034048640,38.9669421,59.1552814,(M0.4),99.7355,16.429,15.418,17.56,2.5743699073791504,1.7881200313568115,398.1,398.1,79.6,79.6,79.6,16.776703,2.3341007,1.0080906,2.574372840399031,0.6896,1.6445007,False
2118149,1929748253706595456,22501479+4109309,ZAN6,CM,Gaia DR3 1929748253706595456,342.5616456,41.1585952,(M6.0),99.7339,18.19844,16.98964,19.73034,2.7383767023253265,1.7930163070543523,"125 (-54,+130)",125.0,90.0,130.0,54.0,18.198465,2.7398853,0.9875824,2.7383767023253265,0.4376,2.3022854,False
1792811,5870762866788031360,13493950-5902462,CWNU1138,CM,Gaia DR3 5870762866788031360,207.414608,-59.046185,(M1.4),99.7319,17.19695,16.12883,18.34189,2.11952395671739,4.666809325464095,110 ± 20,112.2,22.4,22.4,22.4,17.196968,2.2129784,0.9494399,2.1195239567173894,0.4077,1.8052783,False
3523988,5835124396411711744,16190998-5751415,NGC6087,CM,Gaia DR3 5835124396411711744,244.791613,-57.86153,(M0.8),99.7308,17.142,16.11328,17.73305,1.0587036831976022,3.661682643692714,102.3,102.3,,,,17.142006,1.6202126,1.0301634,1.0587036831976022,,,False
2881678,4066070179380424576,18041980-2418061,NGC6530,CM,Gaia DR3 4066070179380424576,271.08252,-24.301718,(M1.9),99.7299,17.54902,16.45376,18.92156,0.8834934207184268,0.68347,5.5 ± 0.6,5.5,0.6,0.6,0.6,17.549,2.4673462,1.0804511,0.8834934207184268,0.5899,1.8774462,False
8592,1260123858250996608,14110793+2731228,CCBER,HM,2MASS J14110793+2731228,212.7830306,27.522987,(M4.1),99.7297,16.16,14.905,17.883,11.713600158691406,0.6215559840202332,562.0,562.0,91.0,98.0,84.0,16.172527,2.985445,1.0267622,11.713641716322888,,,False
